nodeId,type,depth,oldName,newName,action,tailwindHint,note
779:2672,text,9,1,1,不變（text 保留文案）,,
779:2673,frame,7,2,Calendar/DayCell-2026-08-02,改名,flex items-center justify-center,
779:2674,frame,8,Button - 2026年8月2日,Button/Day-2026-08-02,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2675,text,9,2,2,不變（text 保留文案）,,
779:2676,frame,7,3,Calendar/DayCell-2026-08-03,改名,flex items-center justify-center,
779:2677,frame,8,Button - 2026年8月3日（公休）,Button/Day-2026-08-03 [closed],改名,size-[34px] text-status-error cursor-not-allowed,公休日
779:2678,text,9,3,3,不變（text 保留文案）,,
779:2679,frame,7,4,Calendar/DayCell-2026-08-04,改名,flex items-center justify-center,
779:2680,frame,8,Button - 2026年8月4日,Button/Day-2026-08-04,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2681,text,9,4,4,不變（text 保留文案）,,
779:2682,frame,7,5,Calendar/DayCell-2026-08-05,改名,flex items-center justify-center,
779:2683,frame,8,Button - 2026年8月5日,Button/Day-2026-08-05,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2684,text,9,5,5,不變（text 保留文案）,,
779:2685,frame,7,6,Calendar/DayCell-2026-08-06,改名,flex items-center justify-center,
779:2686,frame,8,Button - 2026年8月6日,Button/Day-2026-08-06,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2687,text,9,6,6,不變（text 保留文案）,,
779:2688,frame,7,7,Calendar/DayCell-2026-08-07,改名,flex items-center justify-center,
779:2689,frame,8,Button - 2026年8月7日,Button/Day-2026-08-07,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2690,text,9,7,7,不變（text 保留文案）,,
779:2691,frame,7,8,Calendar/DayCell-2026-08-08,改名,flex items-center justify-center,
779:2692,frame,8,Button - 2026年8月8日,Button/Day-2026-08-08 [selected],改名,size-[34px] bg-primary text-white rounded-full,目前選取日
779:2693,text,9,8,8,不變（text 保留文案）,,
779:2694,frame,7,9,Calendar/DayCell-2026-08-09,改名,flex items-center justify-center,
779:2695,frame,8,Button - 2026年8月9日,Button/Day-2026-08-09,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2696,text,9,9,9,不變（text 保留文案）,,
779:2697,frame,7,10,Calendar/DayCell-2026-08-10,改名,flex items-center justify-center,
779:2698,frame,8,Button - 2026年8月10日（公休）,Button/Day-2026-08-10 [closed],改名,size-[34px] text-status-error cursor-not-allowed,公休日
779:2699,text,9,10,10,不變（text 保留文案）,,
779:2700,frame,7,11,Calendar/DayCell-2026-08-11,改名,flex items-center justify-center,
779:2701,frame,8,Button - 2026年8月11日,Button/Day-2026-08-11,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2702,text,9,11,11,不變（text 保留文案）,,
779:2703,frame,7,12,Calendar/DayCell-2026-08-12,改名,flex items-center justify-center,
779:2704,frame,8,Button - 2026年8月12日,Button/Day-2026-08-12,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2705,text,9,12,12,不變（text 保留文案）,,
779:2706,frame,7,13,Calendar/DayCell-2026-08-13,改名,flex items-center justify-center,
779:2707,frame,8,Button - 2026年8月13日,Button/Day-2026-08-13,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2708,text,9,13,13,不變（text 保留文案）,,
779:2709,frame,7,14,Calendar/DayCell-2026-08-14,改名,flex items-center justify-center,
779:2710,frame,8,Button - 2026年8月14日,Button/Day-2026-08-14,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2711,text,9,14,14,不變（text 保留文案）,,
779:2712,frame,7,15,Calendar/DayCell-2026-08-15,改名,flex items-center justify-center,
779:2713,frame,8,Button - 2026年8月15日,Button/Day-2026-08-15,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2714,text,9,15,15,不變（text 保留文案）,,
779:2715,frame,7,16,Calendar/DayCell-2026-08-16,改名,flex items-center justify-center,
779:2716,frame,8,Button - 2026年8月16日,Button/Day-2026-08-16,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2717,text,9,16,16,不變（text 保留文案）,,
779:2718,frame,7,17,Calendar/DayCell-2026-08-17,改名,flex items-center justify-center,
779:2719,frame,8,Button - 2026年8月17日（公休）,Button/Day-2026-08-17 [closed],改名,size-[34px] text-status-error cursor-not-allowed,公休日
779:2720,text,9,17,17,不變（text 保留文案）,,
779:2721,frame,7,18,Calendar/DayCell-2026-08-18,改名,flex items-center justify-center,
779:2722,frame,8,Button - 2026年8月18日,Button/Day-2026-08-18,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2723,text,9,18,18,不變（text 保留文案）,,
779:2724,frame,7,19,Calendar/DayCell-2026-08-19,改名,flex items-center justify-center,
779:2725,frame,8,Button - 2026年8月19日,Button/Day-2026-08-19,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2726,text,9,19,19,不變（text 保留文案）,,
779:2727,frame,7,20,Calendar/DayCell-2026-08-20,改名,flex items-center justify-center,
779:2728,frame,8,Button - 2026年8月20日,Button/Day-2026-08-20,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2729,text,9,20,20,不變（text 保留文案）,,
779:2730,frame,7,21,Calendar/DayCell-2026-08-21,改名,flex items-center justify-center,
779:2731,frame,8,Button - 2026年8月21日,Button/Day-2026-08-21,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2732,text,9,21,21,不變（text 保留文案）,,
779:2733,frame,7,22,Calendar/DayCell-2026-08-22,改名,flex items-center justify-center,
779:2734,frame,8,Button - 2026年8月22日,Button/Day-2026-08-22,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2735,text,9,22,22,不變（text 保留文案）,,
779:2736,frame,7,23,Calendar/DayCell-2026-08-23,改名,flex items-center justify-center,
779:2737,frame,8,Button - 2026年8月23日,Button/Day-2026-08-23,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2738,text,9,23,23,不變（text 保留文案）,,
779:2739,frame,7,24,Calendar/DayCell-2026-08-24,改名,flex items-center justify-center,
779:2740,frame,8,Button - 2026年8月24日（公休）,Button/Day-2026-08-24 [closed],改名,size-[34px] text-status-error cursor-not-allowed,公休日
779:2741,text,9,24,24,不變（text 保留文案）,,
779:2742,frame,7,25,Calendar/DayCell-2026-08-25,改名,flex items-center justify-center,
779:2743,frame,8,Button - 2026年8月25日,Button/Day-2026-08-25,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2744,text,9,25,25,不變（text 保留文案）,,
779:2745,frame,7,26,Calendar/DayCell-2026-08-26,改名,flex items-center justify-center,
779:2746,frame,8,Button - 2026年8月26日,Button/Day-2026-08-26,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2747,text,9,26,26,不變（text 保留文案）,,
779:2748,frame,7,27,Calendar/DayCell-2026-08-27,改名,flex items-center justify-center,
779:2749,frame,8,Button - 2026年8月27日,Button/Day-2026-08-27,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2750,text,9,27,27,不變（text 保留文案）,,
779:2751,frame,7,28,Calendar/DayCell-2026-08-28,改名,flex items-center justify-center,
779:2752,frame,8,Button - 2026年8月28日,Button/Day-2026-08-28,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2753,text,9,28,28,不變（text 保留文案）,,
779:2754,frame,7,29,Calendar/DayCell-2026-08-29,改名,flex items-center justify-center,
779:2755,frame,8,Button - 2026年8月29日,Button/Day-2026-08-29,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2756,text,9,29,29,不變（text 保留文案）,,
779:2757,frame,7,30,Calendar/DayCell-2026-08-30,改名,flex items-center justify-center,
779:2758,frame,8,Button - 2026年8月30日,Button/Day-2026-08-30,改名,size-[34px] rounded-full hover:bg-surface-alt,
779:2759,text,9,30,30,不變（text 保留文案）,,
779:2760,frame,7,31,Calendar/DayCell-2026-08-31,改名,flex items-center justify-center,
779:2761,frame,8,Button - 2026年8月31日（公休）,Button/Day-2026-08-31 [closed],改名,size-[34px] text-status-error cursor-not-allowed,公休日
779:2762,text,9,31,31,不變（text 保留文案）,,
779:2763,frame,7,1,Calendar/DayCell-2026-09-01,改名,flex items-center justify-center,
779:2764,frame,8,Button,Button/Day-2026-09-01 [outside],改名,size-[34px] text-text-muted/40 pointer-events-none,非本月日期
779:2765,text,9,1,1,不變（text 保留文案）,,
779:2766,frame,7,2,Calendar/DayCell-2026-09-02,改名,flex items-center justify-center,
779:2767,frame,8,Button,Button/Day-2026-09-02 [outside],改名,size-[34px] text-text-muted/40 pointer-events-none,非本月日期
779:2768,text,9,2,2,不變（text 保留文案）,,
779:2769,frame,7,3,Calendar/DayCell-2026-09-03,改名,flex items-center justify-center,
779:2770,frame,8,Button,Button/Day-2026-09-03 [outside],改名,size-[34px] text-text-muted/40 pointer-events-none,非本月日期
779:2771,text,9,3,3,不變（text 保留文案）,,
779:2772,frame,7,4,Calendar/DayCell-2026-09-04,改名,flex items-center justify-center,
779:2773,frame,8,Button,Button/Day-2026-09-04 [outside],改名,size-[34px] text-text-muted/40 pointer-events-none,非本月日期
779:2774,text,9,4,4,不變（text 保留文案）,,
779:2775,frame,7,5,Calendar/DayCell-2026-09-05,改名,flex items-center justify-center,
779:2776,frame,8,Button,Button/Day-2026-09-05 [outside],改名,size-[34px] text-text-muted/40 pointer-events-none,非本月日期
779:2777,text,9,5,5,不變（text 保留文案）,,
779:2778,frame,3,BookingPanel,Column/TimeSlot,改名,flex flex-col gap-6 md:w-[412px],原名 BookingPanel
779:2779,frame,4,TimeSlotGroup,Section/TimeSlot,改名,flex flex-col gap-4,原名 TimeSlotGroup
779:2780,frame,5,Row,Row/TimeSlotHeader,改名,flex items-center justify-between,
779:2781,frame,6,Heading,Heading/TimeSlot,改名,text-lg font-medium,
779:2782,text,7,選擇時段,選擇時段,不變（text 保留文案）,,
779:2783,instance,5,TimeSlots,[Comp] TimeSlots,改名,,元件實例
835:663,instance,4,Button,[Comp] Button/NextStep,改名,w-full,元件實例：下一步 CTA
779:2787,frame,0,Header,Header/Booking,改名,<header> · w-full border-b,
779:2788,frame,1,Row,Row/HeaderBar,改名,flex items-center justify-between px-6 h-[72px],
779:2789,frame,2,Button - 返回預約首頁,Button/BackToHome,改名,flex items-center gap-1 hover:text-primary,
779:2790,frame,3,ChevLeft,Icon/ChevronLeft,改名,size-5,
779:2792,frame,3,預約首頁,Label/BackToHome,改名,text-base,⚠️ 圖層叫「預約首頁」但文案是「訂位查詢」，兩者不一致，請確認哪個才對
779:2793,text,4,訂位查詢,訂位查詢,不變（text 保留文案）,,
779:2794,frame,2,步驟 1 3,Badge/StepIndicator,改名,rounded-full border px-3 py-1,
779:2795,frame,3,步驟 1 3,Label/StepIndicator,改名,text-xs text-text-secondary,
779:2796,text,4,步驟 1 / 3,步驟 1 / 3,不變（text 保留文案）,,
779:2797,frame,0,SharedFooter,Footer/Shared,改名,<footer> · w-full border-t,
779:2798,frame,1,Inner,Container/FooterInner,改名,mx-auto max-w-[1280px] px-6,原名 Inner
779:2799,frame,2,Row,Row/FooterContent,改名,flex flex-col md:flex-row items-center justify-between gap-4,
779:2800,frame,3,Stack,Stack/FooterBrand,改名,flex flex-col gap-1,
779:2801,frame,4,RESTAURANT BOO,Label/BrandName,改名,text-sm font-semibold tracking-widest text-primary,
779:2802,text,5,RESTAURANT BOOKING ENTRANCE,RESTAURANT BOOKING ENTRANCE,不變（text 保留文案）,,
779:2803,frame,4,© 2026 Restaur,Label/Copyright,改名,text-xs text-text-muted,
779:2804,text,5,© 2026 Restaurant Booking Entrance. All rights res,© 2026 Restaurant Booking Entrance. All rights res,不變（text 保留文案）,,
779:2805,frame,3,Navigation - 頁尾導覽,Nav/FooterLinks,改名,<nav> · flex gap-2,原名 Navigation - 頁尾導覽
779:2806,frame,4,Link,Link/PrivacyPolicy,改名,px-2 py-1 text-sm hover:text-primary hover:underline,
779:2807,text,5,隱私政策,隱私政策,不變（text 保留文案）,,
779:2808,frame,4,Link,Link/TermsOfService,改名,px-2 py-1 text-sm hover:text-primary hover:underline,
779:2809,text,5,服務條款,服務條款,不變（text 保留文案）,,
779:2810,frame,4,Link,Link/Contact,改名,px-2 py-1 text-sm hover:text-primary hover:underline,
779:2811,text,5,聯繫我們,聯繫我們,不變（text 保留文案）,,
