nodeId,type,depth,oldName,newName,action,reason
779:2762,text,9,31,31,不變（text 保留文案）,
779:2763,frame,7,1,Sep 1,改名,原名只有數字，跨月會重複（26、1…各出現兩次）
779:2764,frame,8,Button,Day Button (Outside),改名,非本月日期
779:2765,text,9,1,1,不變（text 保留文案）,
779:2766,frame,7,2,Sep 2,改名,原名只有數字，跨月會重複（26、1…各出現兩次）
779:2767,frame,8,Button,Day Button (Outside),改名,非本月日期
779:2768,text,9,2,2,不變（text 保留文案）,
779:2769,frame,7,3,Sep 3,改名,原名只有數字，跨月會重複（26、1…各出現兩次）
779:2770,frame,8,Button,Day Button (Outside),改名,非本月日期
779:2771,text,9,3,3,不變（text 保留文案）,
779:2772,frame,7,4,Sep 4,改名,原名只有數字，跨月會重複（26、1…各出現兩次）
779:2773,frame,8,Button,Day Button (Outside),改名,非本月日期
779:2774,text,9,4,4,不變（text 保留文案）,
779:2775,frame,7,5,Sep 5,改名,原名只有數字，跨月會重複（26、1…各出現兩次）
779:2776,frame,8,Button,Day Button (Outside),改名,非本月日期
779:2777,text,9,5,5,不變（text 保留文案）,
779:2778,frame,3,BookingPanel,Time Slot Column,改名,原名 BookingPanel，與另外兩欄命名不一致
779:2779,frame,4,TimeSlotGroup,Time Slot,改名,原名 TimeSlotGroup
779:2780,frame,5,Row,Time Slot Header,改名,原名 Row
779:2781,frame,6,Heading,Heading,不變,
779:2782,text,7,選擇時段,選擇時段,不變（text 保留文案）,
779:2783,instance,5,TimeSlots,[Comp] Time Slots,改名,元件實例
835:663,instance,4,Button,[Comp] Button (Next Step),改名,元件實例：下一步 CTA
779:2787,frame,0,Header,Header,不變,
779:2788,frame,1,Row,Header Bar,改名,原名 Row
779:2789,frame,2,Button - 返回預約首頁,Back Button,改名,原名 Button - 返回預約首頁
779:2790,frame,3,ChevLeft,Chevron Left,改名,ChevLeft 縮寫改全名
779:2792,frame,3,預約首頁,Back Label,改名,⚠️ 原名「預約首頁」但文案是「訂位查詢」，兩者不一致，請確認哪個才對
779:2793,text,4,訂位查詢,訂位查詢,不變（text 保留文案）,
779:2794,frame,2,步驟 1 3,Step Badge,改名,原名為文案「步驟 1 3」，步驟改了名字就過期
779:2795,frame,3,步驟 1 3,Step Label,改名,同上
779:2796,text,4,步驟 1 / 3,步驟 1 / 3,不變（text 保留文案）,
779:2797,frame,0,SharedFooter,Shared Footer,改名,加空格，保留 Shared 表示這是共用區塊
779:2798,frame,1,Inner,Footer Container,改名,原名 Inner
779:2799,frame,2,Row,Footer Content,改名,原名 Row
779:2800,frame,3,Stack,Footer Brand,改名,原名 Stack
779:2801,frame,4,RESTAURANT BOO,Brand Name,改名,原名為被截斷的文案 RESTAURANT BOO
779:2802,text,5,RESTAURANT BOOKING ENTRANCE,RESTAURANT BOOKING ENTRANCE,不變（text 保留文案）,
779:2803,frame,4,© 2026 Restaur,Copyright,改名,原名為被截斷的文案 © 2026 Restaur
779:2804,text,5,© 2026 Restaurant Booking Entrance. All rights res,© 2026 Restaurant Booking Entrance. All rights res,不變（text 保留文案）,
779:2805,frame,3,Navigation - 頁尾導覽,Footer Nav,改名,原名 Navigation - 頁尾導覽，中英混用
779:2806,frame,4,Link,Privacy Link,改名,三個 Link 完全同名
779:2807,text,5,隱私政策,隱私政策,不變（text 保留文案）,
779:2808,frame,4,Link,Terms Link,改名,三個 Link 完全同名
779:2809,text,5,服務條款,服務條款,不變（text 保留文案）,
779:2810,frame,4,Link,Contact Link,改名,三個 Link 完全同名
779:2811,text,5,聯繫我們,聯繫我們,不變（text 保留文案）,
